"distancia_km","cota","pendiente","curvatura","elemento","tipo_elemento","curvatura_magnitud"
110.920234,957.562,-1.0472,0,NA,0,0
110.970234,957.038,-0.785394,0,NA,0,0
110.980234,956.959,-0.523594,0.00266666664,NA,0,0.00266666664
111.012961,956.788,-0.523597956,0.00404028129,NA,0,0.00404028129
111.099359,956.344,-0.523597956,0.00404028129,NA,0,0.00404028129
111.120961,956.231,-0.523607,0.00404028129,NA,0,0.00404028129
111.142563,956.118,-0.523599,0.00266666664,NA,0,0.00266666664
111.149109,956.084,-0.523595,0.00266666664,NA,0,0.00266666664
111.155656,956.05,-0.523606,0,NA,0,0
111.355656,955.002,-0.523596,0,NA,0,0
111.555656,953.955,-0.523597956,0,NA,0,0
111.755656,952.908,-0.523597956,0.002,NA,0,0.002
111.842922,952.454,-0.523596,0.002,NA,0,0.002
111.930188,951.999,-0.261798978,0,NA,0,0
111.940188,951.973,0,0,NA,0,0
112.140188,951.973,0,0.002,NA,0,0.002
112.157641,951.973,0,0.00133333332,NA,0,0.00133333332
112.223094,951.973,0,0.002,NA,0,0.002
112.23182,951.973,0,0,NA,0,0
112.43182,951.973,0,0,NA,0,0
112.53182,951.973,0,0,NA,0,0
112.55182,951.973,0.2618,0,NA,0,0
112.56182,951.999,0.523599,0,NA,0,0
112.57182,952.052,0.785396,0,NA,0,0
112.58182,952.13,1.0472,-0.00266666664,NA,0,0.00266666664
112.614547,952.472,1.04321,-0.00266666664,NA,0,0.00266666664
112.647273,952.812,1.5708,-0.00266666664,NA,0,0.00266666664
112.68,953.325,1.56481993,-0.00266666664,NA,0,0.00266666664
112.712727,953.835,1.5708,-0.00266666664,NA,0,0.00266666664
112.745453,954.348,1.56481993,-0.00266666664,NA,0,0.00266666664
112.77818,954.858,1.57079,-0.00266666664,NA,0,0.00266666664
112.810906,955.372,1.56481993,-0.00266666664,NA,0,0.00266666664
112.843633,955.881,1.5708,0,NA,0,0
112.855438,956.066,1.5708,0,"210",2,0
112.993633,958.2372,1.57079,0.00133333332,NA,0,0.00133333332
113.124531,960.283,1.30899,0.00133333332,NA,0,0.00133333332
113.137625,960.455,1.04719,0.00133333332,NA,0,0.00133333332
113.150719,960.591,0.785387039,0.00133333332,NA,0,0.00133333332
113.163813,960.694,0,0,NA,0,0
113.203813,960.694,0,0,NA,0,0
113.223813,960.694,0,0,NA,0,0
113.270609,960.694,0,0,"Campolara",1,0
113.423813,960.694,0,0,NA,0,0
113.465984,960.694,0,0,"Campolara",1,0
113.473813,960.694,0.261797,0,NA,0,0
113.483813,960.72,0.515645,-0.00404028129,NA,0,0.00404028129
113.505414,960.83,0.523599,-0.00404028129,NA,0,0.00404028129
